Nome,Simbolo
AAVE,AAVE
CARDANO,ADA
ALCHEMIX,ALCX
MYNEIGHBORALICE,ALICE
AMP,AMP
ANKR,ANKR
ARAGON,ANT
APECOIN,APE
AUDIUS,AUDIO
AXIE INFINITY,AXS
BALANCER,BAL
BAND PROTOCOL,BAND
BASIC ATTENTION TOKEN,BAT
BITCOIN CASH,BCH
BLUZELLE,BLZ
BANCOR,BNT
BITCOIN,BTC
CARTESI,CTSI
CONVEX FINANCE,CVX
CHILIZ,CHZ
CURVE DAO TOKEN,CRV
COMPOUND,COMP
DAI,DAI
DYDX,DYDX
ETHEREUM NAME SERVICE,ENS
ENJIN COIN,ENJ
ETHEREUM,ETH
FETCH.AI,FET
FAN TOKENS,FT
GALA,GALA
GNOSIS,GNO
GODS UNCHAINED,GODS
THE GRAPH,GRT
ILLUVIUM,ILV
IMMUTABLE X,IMX
KEEP NETWORK,KEEP
KYBER NETWORK,KNC
KEEP3RV1,KP3R
LIDO DAO TOKEN,LDO
CHAINLINK,LINK
LIVEPEER,LPT
LIQUITY,LQTY
LOOPRING,LRC
LITECOIN,LTC
MANA (DECENTRALAND),MANA
POLYGON,MATIC
MERIT CIRCLE,MC
MOSS CARBON CREDIT,MCO2
MIRROR PROTOCOL,MIR
MAKER,MKR
OCEAN PROTOCOL,OCEAN
ORIGIN PROTOCOL,OGN
OMG NETWORK,OMG
OPULOUS,OPUL
ORCHID,OXT
PAX GOLD,PAXG
PERPETUAL PROTOCOL,PERP
PLAYDAPP,PLA
POLKASTARTER,POLS
QUANT,QNT
RADIO CACA,RACA
RADICLE,RAD
RARIBLE,RARI
REN,REN
REQUEST,REQ
RALLY,RLY
RENDER TOKEN,RNDR
THE SANDBOX,SAND
SHIBA INU,SHIB
SKALE NETWORK,SKL
SMOOTH LOVE POTION,SLP
SYNTHETIX,SNX
SOLANA,SOL
SUPERFARM,SUPER
SUSHISWAP,SUSHI
SYNAPSE,SYN
TRUEFI,TRU
UMA,UMA
UNISWAP,UNI
USDC,USDC
PAX DOLLAR,USDP
WRAPPED BITCOIN,WBTC
WIBX,WBX
WRAPPED LUNA TOKEN,WLUNA
STELLAR,XLM
XRP,XRP
YEARN.FINANCE,YFI
YIELD GUILD GAMES,YGG
0X,ZRX
